solver_window_ms,user_decision_timeout_ms,time_to_deadline_ms,time_in_force,max_slippage_bps,max_gas_cost_usd,max_hops,has_whitelist,has_blacklist,has_limit_price,optimization_goal,surplus_weight,gas_cost_weight,execution_speed_weight,reputation_weight,require_simulation,input_count,output_count,input_asset_types,output_asset_types,input_value_usd,expected_output_value_usd,benchmark_source,benchmark_confidence,expected_gas_usd,expected_slippage_bps,has_nlp_input,nlp_confidence,client_platform,tag_count,strategy,actual_surplus_usd,actual_surplus_pct,actual_price_impact,primary_category,sub_category,detected_priority,complexity_level,risk_level,surplus_usd_weight,surplus_pct_weight,price_impact_weight,gas_cost_weight,gas_efficiency_weight,total_cost_weight,success_rate_weight,reliability_weight,guarantee_weight
10000,60000,98517,good_til_cancel,582,2.43,2,False,False,False,minimize_gas,21,47,10,22,True,2,2,"[""volatile"", ""native""]","[""native"", ""stable""]",17752.14,17521.37,paraswap,0.945,1.51,464,True,0.887,telegram,3,Gas-Optimized,,,,swap,multi_hop_swap,cost,moderate,low,,,,47,0.322,0.217,,,
10000,120000,394378,good_til_cancel,896,2.51,3,False,True,False,balanced,30,25,-10,55,False,1,2,"[""native""]","[""volatile"", ""volatile""]",22366.22,21741.29,paraswap,0.877,1.84,602,True,0.663,mobile,5,Reputation-Trust,,,,swap,cross_chain,output,moderate,medium,,,,25,,,0.379,0.399,0.222
10000,600000,32021,fill_or_kill,868,2.81,2,True,False,False,balanced,27,22,3,48,True,1,1,"[""native""]","[""native""]",58975.27,59249.23,internal,0.958,1.82,623,True,0.928,api,0,Reputation-Trust,,,,swap,multi_hop_swap,balanced,moderate,medium,,,,22,,,0.41,0.341,0.249
15000,60000,54967,immediate,608,2.28,2,True,False,False,maximize_output,22,51,13,14,True,1,1,"[""stable""]","[""volatile""]",18570.32,18458.81,internal,0.891,1.1,241,True,0.94,api,3,Gas-Optimized,,,,swap,simple_swap,balanced,moderate,low,,,,51,0.27,0.301,,,
10000,600000,565854,good_til_cancel,626,2.68,2,True,True,True,balanced,15,21,24,40,False,1,1,"[""volatile""]","[""stable""]",96741.67,97172.89,paraswap,0.937,2.0,247,True,0.757,telegram,3,Reputation-Trust,,,,limit_order,stop_loss,cost,complex,medium,,,,21,,,0.377,0.31,0.313
60000,60000,359472,immediate,686,2.59,2,False,True,True,balanced,18,17,10,55,True,2,1,"[""stable"", ""stable""]","[""native""]",92720.06,91760.9,paraswap,0.813,2.19,55,True,0.759,telegram,3,Reputation-Trust,,,,swap,multi_hop_swap,output,moderate,high,,,,17,,,0.38,0.353,0.267
10000,30000,151504,good_til_cancel,560,2.09,2,True,True,True,minimize_gas,16,46,15,23,False,1,1,"[""stable""]","[""volatile""]",13078.34,13154.7,internal,0.875,1.56,273,True,0.851,api,4,Gas-Optimized,,,,swap,simple_swap,cost,moderate,medium,,,,46,0.255,0.32,,,
60000,60000,118593,good_til_cancel,831,2.24,4,True,True,True,minimize_gas,26,23,-2,53,True,3,1,"[""volatile"", ""native"", ""volatile""]","[""native""]",45293.5,44841.31,1inch,0.981,1.99,321,True,0.74,api,0,Reputation-Trust,,,,complex_defi,multi_token,balanced,complex,medium,,,,23,,,0.434,0.345,0.221
5000,120000,161753,good_til_cancel,503,2.5,3,True,True,False,maximize_output,47,13,18,22,True,2,1,"[""native"", ""stable""]","[""native""]",43174.45,43122.12,internal,0.906,1.63,108,False,0.0,web,2,Surplus-First,348.86,0.81,0.48,complex_defi,multi_token,output,complex,medium,0.444,0.34,0.216,13,,,,,
3000,300000,195387,fill_or_kill,981,2.75,4,True,False,False,maximize_output,58,13,13,16,True,1,1,"[""volatile""]","[""stable""]",6186.82,6087.39,1inch,0.934,2.27,835,True,0.813,api,0,Surplus-First,183.86,3.02,0.54,complex_defi,multi_token,output,complex,high,0.466,0.307,0.227,13,,,,,
5000,30000,72286,good_til_cancel,750,2.3,4,True,False,True,balanced,60,11,14,15,True,1,1,"[""stable""]","[""volatile""]",33605.21,33453.56,coingecko,0.87,2.48,541,False,0.0,web,4,Surplus-First,502.19,1.5,1.77,complex_defi,split_route,balanced,moderate,medium,0.454,0.341,0.205,11,,,,,
30000,300000,233514,good_til_cancel,679,2.35,3,True,True,False,balanced,28,16,7,49,True,1,1,"[""native""]","[""native""]",45034.98,44296.43,internal,0.927,2.09,508,True,0.907,telegram,3,Reputation-Trust,,,,complex_defi,aggregated_swap,cost,moderate,low,,,,16,,,0.38,0.339,0.281
15000,300000,198877,good_til_cancel,909,2.97,2,True,False,True,fastest_execution,44,7,13,36,True,1,1,"[""stable""]","[""stable""]",12118.59,12092.43,coingecko,0.804,1.39,743,True,0.661,web,0,Surplus-First,808.77,6.69,1.63,swap,simple_swap,speed,moderate,high,0.477,0.377,0.146,7,,,,,
15000,30000,113754,fill_or_kill,507,2.14,2,True,True,False,maximize_output,58,12,17,13,True,2,2,"[""stable"", ""stable""]","[""native"", ""stable""]",31254.97,31170.39,coingecko,0.916,1.98,313,False,0.0,api,1,Surplus-First,419.65,1.35,1.6,complex_defi,split_route,output,complex,medium,0.426,0.378,0.196,12,,,,,
3000,120000,188349,immediate,722,2.16,2,False,True,True,balanced,49,15,18,18,True,2,1,"[""volatile"", ""native""]","[""volatile""]",16545.72,16065.46,paraswap,0.955,2.25,364,True,0.62,web,0,Surplus-First,293.64,1.83,1.78,swap,simple_swap,output,moderate,medium,0.442,0.321,0.237,15,,,,,
30000,60000,13741,immediate,920,2.64,2,False,False,True,maximize_output,58,15,20,7,True,1,1,"[""stable""]","[""volatile""]",42846.21,43448.21,paraswap,0.756,2.02,759,False,0.0,telegram,0,Surplus-First,521.05,1.2,0.51,limit_order,standard_limit,output,complex,high,0.452,0.35,0.198,15,,,,,
5000,60000,217743,good_til_cancel,936,2.16,4,True,False,False,fastest_execution,53,9,13,25,True,2,1,"[""native"", ""stable""]","[""stable""]",36472.13,36890.16,paraswap,0.83,1.64,452,False,0.0,web,3,Surplus-First,273.39,0.74,1.69,complex_defi,split_route,balanced,complex,medium,0.42,0.366,0.214,9,,,,,
15000,60000,24014,immediate,676,2.14,2,False,False,False,balanced,16,42,20,22,False,1,1,"[""stable""]","[""native""]",13961.57,13941.9,internal,0.895,1.44,612,True,0.723,telegram,0,Gas-Optimized,,,,swap,simple_swap,balanced,simple,low,,,,42,0.305,0.2,,,
3000,60000,176462,good_til_cancel,994,2.02,2,True,True,False,maximize_output,47,9,20,24,False,2,1,"[""stable"", ""volatile""]","[""stable""]",9311.2,9097.24,paraswap,0.82,2.25,329,True,0.662,api,2,Surplus-First,563.81,6.2,1.19,swap,multi_hop_swap,output,moderate,high,0.483,0.369,0.148,9,,,,,
30000,300000,87926,good_til_cancel,614,2.89,4,False,True,False,maximize_output,42,11,15,32,True,2,1,"[""volatile"", ""volatile""]","[""native""]",37981.7,37108.82,1inch,0.752,2.42,387,True,0.858,telegram,2,Surplus-First,420.28,1.13,1.18,complex_defi,split_route,output,moderate,medium,0.479,0.339,0.182,11,,,,,
5000,30000,16951,good_til_cancel,622,2.47,2,False,True,False,balanced,25,43,13,19,True,1,1,"[""volatile""]","[""volatile""]",1033.15,1034.73,coingecko,0.858,1.66,359,True,0.763,mobile,4,Gas-Optimized,,,,swap,multi_hop_swap,balanced,simple,medium,,,,43,0.313,0.235,,,
10000,30000,205458,immediate,844,2.9,2,True,True,False,maximize_output,54,9,14,23,True,1,1,"[""stable""]","[""volatile""]",39333.11,39607.61,1inch,0.835,1.89,555,True,0.856,mobile,1,Surplus-First,681.07,1.72,0.32,swap,multi_hop_swap,output,simple,high,0.434,0.376,0.19,9,,,,,
30000,30000,105463,good_til_cancel,971,2.81,4,True,True,False,maximize_output,42,8,15,35,True,2,1,"[""volatile"", ""volatile""]","[""volatile""]",36599.65,36116.08,coingecko,0.777,1.37,119,False,0.0,api,0,Surplus-First,1096.59,3.04,1.14,swap,simple_swap,output,moderate,high,0.438,0.355,0.207,8,,,,,
5000,60000,159740,fill_or_kill,544,2.22,2,True,True,True,minimize_gas,24,46,19,11,True,1,1,"[""volatile""]","[""volatile""]",14178.43,14112.68,1inch,0.848,1.23,455,True,0.708,mobile,0,Gas-Optimized,,,,swap,simple_swap,cost,moderate,medium,,,,46,0.314,0.23,,,
5000,60000,62499,good_til_cancel,623,2.27,4,True,True,False,maximize_output,45,7,13,35,False,1,2,"[""native""]","[""volatile"", ""volatile""]",17908.27,17879.3,1inch,0.863,1.28,464,False,0.0,api,1,Surplus-First,221.06,1.24,0.86,complex_defi,aggregated_swap,output,moderate,medium,0.461,0.381,0.158,7,,,,,
15000,120000,41269,immediate,684,2.05,2,True,True,False,minimize_gas,16,60,15,9,True,1,1,"[""volatile""]","[""volatile""]",10909.31,10770.94,internal,0.845,1.04,184,False,0.0,mobile,0,Gas-Optimized,,,,swap,multi_hop_swap,cost,simple,medium,,,,60,0.27,0.251,,,
5000,30000,191533,fill_or_kill,581,2.11,2,False,False,False,minimize_gas,15,46,17,22,False,1,1,"[""stable""]","[""stable""]",8587.71,8470.49,internal,0.778,0.65,304,False,0.0,telegram,0,Gas-Optimized,,,,swap,multi_hop_swap,cost,simple,low,,,,46,0.335,0.246,,,
5000,30000,74312,immediate,644,2.42,2,True,False,False,minimize_gas,11,52,13,24,True,1,1,"[""native""]","[""native""]",19389.78,19473.65,coingecko,0.95,1.6,367,False,0.0,telegram,1,Gas-Optimized,,,,swap,simple_swap,cost,simple,low,,,,52,0.296,0.243,,,
5000,60000,174317,immediate,657,2.15,3,False,False,False,minimize_gas,23,58,15,4,True,1,1,"[""volatile""]","[""stable""]",18064.47,18106.53,1inch,0.884,1.58,288,True,0.932,telegram,0,Gas-Optimized,,,,swap,multi_hop_swap,cost,complex,medium,,,,58,0.272,0.321,,,
60000,600000,181421,good_til_cancel,635,2.35,2,True,False,True,minimize_gas,26,16,5,53,True,1,1,"[""volatile""]","[""stable""]",31528.36,31649.24,coingecko,0.919,1.56,95,True,0.897,web,4,Reputation-Trust,,,,complex_defi,aggregated_swap,balanced,complex,high,,,,16,,,0.436,0.384,0.18
15000,30000,87398,good_til_cancel,636,2.21,2,True,True,False,fastest_execution,20,44,14,22,True,1,1,"[""native""]","[""native""]",11126.55,11062.33,1inch,0.897,1.12,299,False,0.0,mobile,0,Gas-Optimized,,,,limit_order,standard_limit,cost,simple,low,,,,44,0.323,0.228,,,
3000,30000,159830,fill_or_kill,601,2.11,2,True,False,True,minimize_gas,12,55,16,17,False,1,1,"[""stable""]","[""native""]",5361.44,5290.97,paraswap,0.786,1.32,453,False,0.0,web,1,Gas-Optimized,,,,limit_order,standard_limit,cost,moderate,low,,,,55,0.301,0.237,,,
10000,30000,120615,fill_or_kill,790,2.88,3,True,False,False,balanced,60,12,12,16,True,2,1,"[""volatile"", ""volatile""]","[""stable""]",44942.23,44491.46,1inch,0.989,1.21,555,True,0.865,web,1,Surplus-First,472.51,1.06,0.73,swap,cross_chain,balanced,complex,medium,0.455,0.394,0.151,12,,,,,
5000,60000,77309,immediate,836,2.6,3,False,False,True,maximize_output,50,9,17,24,True,1,2,"[""volatile""]","[""stable"", ""volatile""]",27616.4,27221.36,1inch,0.758,1.94,347,False,0.0,mobile,5,Surplus-First,137.41,0.5,0.9,swap,simple_swap,output,complex,high,0.448,0.357,0.195,9,,,,,
5000,30000,30711,good_til_cancel,659,2.46,2,True,True,True,balanced,15,45,14,26,True,1,2,"[""volatile""]","[""volatile"", ""volatile""]",16365.96,16290.06,paraswap,0.924,1.27,317,True,0.761,web,1,Gas-Optimized,,,,swap,simple_swap,balanced,simple,medium,,,,45,0.285,0.249,,,
3000,120000,61065,fill_or_kill,789,2.48,3,True,True,True,balanced,56,7,18,19,True,2,1,"[""native"", ""stable""]","[""volatile""]",15889.1,16198.27,coingecko,0.934,1.94,255,True,0.623,mobile,4,Surplus-First,233.73,1.44,0.96,swap,cross_chain,output,moderate,medium,0.493,0.33,0.177,7,,,,,
15000,300000,38401,good_til_cancel,830,2.1,3,False,True,True,maximize_output,57,12,12,19,True,1,2,"[""native""]","[""stable"", ""volatile""]",5346.48,5360.42,coingecko,0.981,2.39,292,True,0.742,telegram,1,Surplus-First,683.46,12.75,1.63,swap,simple_swap,output,moderate,medium,0.429,0.37,0.201,12,,,,,
5000,600000,340979,good_til_cancel,787,2.37,4,True,True,True,maximize_output,23,12,27,38,False,1,1,"[""volatile""]","[""stable""]",7036.38,7162.73,internal,0.809,1.98,334,True,0.747,web,5,Reputation-Trust,,,,swap,simple_swap,balanced,moderate,medium,,,,12,,,0.368,0.327,0.305
5000,60000,558107,good_til_cancel,664,2.71,3,True,True,False,minimize_gas,25,20,14,41,False,1,2,"[""native""]","[""native"", ""native""]",94778.92,92210.16,internal,0.982,1.81,340,False,0.0,mobile,0,Reputation-Trust,,,,complex_defi,multi_token,balanced,moderate,high,,,,20,,,0.4,0.38,0.22
10000,120000,173948,good_til_cancel,559,2.09,2,True,True,True,maximize_output,54,14,14,18,True,1,1,"[""stable""]","[""stable""]",13955.74,13806.22,internal,0.932,1.97,458,True,0.64,web,1,Surplus-First,502.23,3.64,1.62,swap,cross_chain,output,moderate,medium,0.461,0.386,0.153,14,,,,,
15000,60000,21150,good_til_cancel,829,2.78,4,True,False,False,maximize_output,52,5,18,25,True,1,1,"[""stable""]","[""volatile""]",15399.41,15181.65,paraswap,0.816,1.83,370,False,0.0,web,3,Surplus-First,1008.11,6.64,1.89,complex_defi,split_route,output,complex,high,0.41,0.322,0.268,5,,,,,
3000,30000,20160,good_til_cancel,541,2.03,2,False,False,True,maximize_output,18,47,18,17,False,1,1,"[""stable""]","[""native""]",19929.48,19736.83,internal,0.984,0.8,171,False,0.0,telegram,2,Gas-Optimized,,,,swap,simple_swap,cost,moderate,low,,,,47,0.253,0.313,,,
5000,60000,231134,good_til_cancel,715,2.84,3,True,True,True,balanced,22,24,13,41,True,1,1,"[""volatile""]","[""stable""]",98940.77,100051.37,paraswap,0.852,1.48,424,False,0.0,api,5,Reputation-Trust,,,,complex_defi,aggregated_swap,output,moderate,high,,,,24,,,0.438,0.327,0.235
10000,30000,125212,immediate,567,2.11,2,False,False,False,minimize_gas,11,56,17,16,True,1,1,"[""native""]","[""stable""]",19046.41,19188.84,paraswap,0.83,1.34,212,True,0.947,telegram,2,Gas-Optimized,,,,limit_order,standard_limit,cost,moderate,low,,,,56,0.263,0.258,,,
30000,300000,439699,good_til_cancel,716,2.33,2,True,True,True,maximize_output,24,10,23,43,True,1,1,"[""stable""]","[""native""]",59745.25,59188.04,internal,0.879,1.23,413,True,0.816,api,4,Reputation-Trust,,,,swap,cross_chain,balanced,complex,medium,,,,10,,,0.386,0.369,0.245
5000,30000,112336,immediate,523,2.25,2,False,True,True,minimize_gas,21,51,20,8,True,1,1,"[""native""]","[""stable""]",15397.81,15208.83,1inch,0.831,1.07,386,False,0.0,api,3,Gas-Optimized,,,,swap,multi_hop_swap,cost,moderate,medium,,,,51,0.311,0.207,,,
10000,120000,134921,fill_or_kill,686,2.47,2,False,True,True,minimize_gas,24,50,18,8,True,1,1,"[""volatile""]","[""volatile""]",8341.56,8293.06,1inch,0.952,1.64,431,True,0.759,mobile,0,Gas-Optimized,,,,limit_order,standard_limit,cost,simple,low,,,,50,0.332,0.196,,,
30000,120000,467044,immediate,830,2.7,3,False,False,True,balanced,27,11,12,50,True,1,1,"[""volatile""]","[""volatile""]",41032.04,40820.72,internal,0.98,1.49,86,True,0.671,mobile,3,Reputation-Trust,,,,swap,multi_hop_swap,balanced,moderate,medium,,,,11,,,0.381,0.37,0.249
30000,120000,216421,fill_or_kill,897,2.17,2,False,False,True,maximize_output,46,11,19,24,True,1,1,"[""volatile""]","[""stable""]",12238.39,12159.66,paraswap,0.806,1.75,265,False,0.0,api,2,Surplus-First,884.12,7.27,1.68,complex_defi,split_route,output,moderate,high,0.472,0.38,0.148,11,,,,,
15000,60000,57715,immediate,789,2.56,4,True,False,True,balanced,21,10,27,42,True,1,2,"[""stable""]","[""volatile"", ""volatile""]",13844.25,13669.25,coingecko,0.846,1.84,59,True,0.744,telegram,2,Reputation-Trust,,,,complex_defi,split_route,cost,moderate,high,,,,10,,,0.417,0.335,0.248
3000,60000,50404,immediate,925,2.81,2,True,False,True,balanced,49,12,16,23,True,1,1,"[""native""]","[""native""]",3470.04,3477.41,1inch,0.846,1.02,483,False,0.0,api,4,Surplus-First,698.68,20.09,1.96,swap,cross_chain,output,moderate,medium,0.413,0.321,0.266,12,,,,,
60000,300000,459398,immediate,723,2.96,2,False,True,True,minimize_gas,30,16,-1,55,True,2,1,"[""volatile"", ""volatile""]","[""native""]",95863.24,96672.63,coingecko,0.888,1.59,385,False,0.0,mobile,2,Reputation-Trust,,,,swap,cross_chain,balanced,complex,high,,,,16,,,0.441,0.335,0.224
5000,60000,226161,immediate,877,2.92,3,True,False,True,balanced,43,11,10,36,True,2,1,"[""stable"", ""native""]","[""native""]",1671.39,1637.39,paraswap,0.781,1.1,335,False,0.0,telegram,5,Surplus-First,319.33,19.5,1.94,swap,cross_chain,balanced,complex,medium,0.427,0.311,0.262,11,,,,,
10000,300000,274909,immediate,530,2.84,3,False,True,True,balanced,43,12,14,31,True,3,1,"[""volatile"", ""volatile"", ""volatile""]","[""volatile""]",33443.27,33852.11,1inch,0.802,1.43,416,True,0.85,mobile,0,Surplus-First,357.86,1.06,1.71,complex_defi,multi_token,output,complex,medium,0.408,0.306,0.286,12,,,,,
3000,30000,160053,fill_or_kill,652,2.32,2,True,True,True,minimize_gas,19,59,14,8,True,1,2,"[""stable""]","[""volatile"", ""volatile""]",7033.53,6920.75,1inch,0.841,0.72,168,True,0.902,mobile,0,Gas-Optimized,,,,swap,simple_swap,cost,moderate,low,,,,59,0.291,0.237,,,
30000,60000,164720,good_til_cancel,951,2.55,2,True,False,False,maximize_output,46,15,18,21,True,2,1,"[""stable"", ""volatile""]","[""stable""]",24244.38,24464.32,paraswap,0.965,1.75,447,False,0.0,mobile,0,Surplus-First,528.79,2.16,1.1,complex_defi,aggregated_swap,output,moderate,high,0.436,0.358,0.206,15,,,,,
10000,60000,112188,immediate,667,2.39,3,True,False,True,balanced,25,45,16,14,True,1,2,"[""native""]","[""volatile"", ""stable""]",11017.86,10851.26,internal,0.925,1.04,325,True,0.91,web,1,Gas-Optimized,,,,complex_defi,split_route,balanced,moderate,medium,,,,45,0.339,0.195,,,
5000,60000,50598,fill_or_kill,605,2.49,2,True,True,True,balanced,23,51,13,13,False,1,1,"[""native""]","[""native""]",15850.37,15844.43,1inch,0.795,1.04,383,True,0.932,api,0,Gas-Optimized,,,,limit_order,standard_limit,cost,moderate,medium,,,,51,0.321,0.258,,,
10000,120000,192742,immediate,547,2.42,2,False,False,True,balanced,16,47,17,20,False,1,2,"[""volatile""]","[""native"", ""stable""]",3762.02,3770.52,internal,0.827,0.73,92,False,0.0,mobile,0,Gas-Optimized,,,,limit_order,standard_limit,cost,moderate,medium,,,,47,0.275,0.285,,,
3000,60000,216855,good_til_cancel,669,2.9,2,True,False,False,maximize_output,55,13,17,15,True,2,2,"[""volatile"", ""volatile""]","[""volatile"", ""stable""]",7005.17,7130.45,coingecko,0.737,1.52,63,True,0.618,api,3,Surplus-First,111.57,1.56,1.03,swap,cross_chain,output,moderate,medium,0.462,0.373,0.165,13,,,,,
15000,60000,146461,good_til_cancel,674,2.31,2,False,False,True,maximize_output,60,8,12,20,True,1,1,"[""volatile""]","[""volatile""]",46541.2,46873.63,1inch,0.952,2.25,74,True,0.946,mobile,4,Surplus-First,446.11,0.95,1.51,complex_defi,split_route,output,complex,medium,0.412,0.39,0.198,8,,,,,
15000,60000,206139,good_til_cancel,543,2.13,2,False,False,False,maximize_output,41,12,18,29,True,1,1,"[""stable""]","[""stable""]",14014.46,13611.35,internal,0.768,1.97,233,True,0.703,web,2,Surplus-First,345.98,2.54,1.45,limit_order,standard_limit,output,simple,medium,0.425,0.375,0.2,12,,,,,
30000,60000,586363,immediate,723,2.92,4,False,True,False,balanced,19,15,20,46,True,1,2,"[""native""]","[""volatile"", ""stable""]",7324.2,7436.69,internal,0.957,1.82,350,False,0.0,web,3,Reputation-Trust,,,,complex_defi,split_route,cost,complex,high,,,,15,,,0.443,0.308,0.249
5000,30000,83183,good_til_cancel,518,2.13,3,True,True,True,minimize_gas,11,56,14,19,True,1,1,"[""stable""]","[""stable""]",8517.22,8384.73,internal,0.857,0.83,264,True,0.895,api,1,Gas-Optimized,,,,swap,multi_hop_swap,cost,complex,low,,,,56,0.304,0.24,,,
15000,30000,153782,immediate,604,2.4,3,True,False,False,minimize_gas,12,51,11,26,True,1,1,"[""native""]","[""stable""]",12766.02,12617.76,1inch,0.757,0.58,449,True,0.748,mobile,1,Gas-Optimized,,,,complex_defi,aggregated_swap,cost,simple,low,,,,51,0.304,0.239,,,
15000,30000,262795,good_til_cancel,623,2.24,2,True,True,False,balanced,40,7,15,38,False,1,1,"[""stable""]","[""volatile""]",6593.36,6440.31,internal,0.726,2.04,496,True,0.926,web,5,Surplus-First,602.43,9.35,0.7,swap,cross_chain,balanced,moderate,high,0.426,0.329,0.245,7,,,,,
15000,300000,340283,good_til_cancel,878,2.68,2,False,True,False,minimize_gas,18,17,28,37,True,3,1,"[""volatile"", ""native"", ""stable""]","[""stable""]",53162.22,52041.1,paraswap,0.851,1.71,552,False,0.0,mobile,4,Reputation-Trust,,,,complex_defi,multi_token,balanced,moderate,high,,,,17,,,0.435,0.339,0.226
15000,120000,90979,fill_or_kill,699,2.18,2,False,False,True,minimize_gas,11,55,10,24,False,2,1,"[""volatile"", ""stable""]","[""stable""]",8349.99,8385.44,paraswap,0.833,1.65,34,True,0.756,telegram,0,Gas-Optimized,,,,complex_defi,split_route,cost,moderate,medium,,,,55,0.286,0.223,,,
15000,600000,406796,good_til_cancel,796,2.94,4,False,True,True,balanced,22,19,24,35,True,1,2,"[""native""]","[""volatile"", ""volatile""]",2590.27,2629.88,1inch,0.857,1.49,679,False,0.0,mobile,2,Reputation-Trust,,,,complex_defi,multi_token,output,complex,low,,,,19,,,0.435,0.311,0.254
10000,120000,154325,good_til_cancel,569,2.31,3,False,False,True,fastest_execution,14,41,15,30,True,1,2,"[""volatile""]","[""stable"", ""stable""]",1302.9,1311.27,coingecko,0.804,0.64,437,True,0.819,telegram,2,Gas-Optimized,,,,complex_defi,aggregated_swap,output,simple,low,,,,41,0.334,0.181,,,
5000,60000,83684,good_til_cancel,612,2.06,2,False,True,False,minimize_gas,20,45,11,24,True,1,1,"[""native""]","[""native""]",5068.16,5107.95,coingecko,0.928,1.44,108,False,0.0,api,1,Gas-Optimized,,,,swap,simple_swap,cost,simple,low,,,,45,0.282,0.301,,,
10000,60000,158794,immediate,640,2.18,2,True,False,False,minimize_gas,12,53,18,17,False,1,2,"[""volatile""]","[""stable"", ""volatile""]",16934.4,16736.64,coingecko,0.783,1.01,135,True,0.878,telegram,3,Gas-Optimized,,,,swap,multi_hop_swap,cost,moderate,medium,,,,53,0.315,0.231,,,
15000,60000,267569,good_til_cancel,747,2.32,4,True,True,False,balanced,22,15,23,40,True,1,1,"[""stable""]","[""native""]",39712.15,39564.04,internal,0.823,1.24,154,True,0.768,mobile,2,Reputation-Trust,,,,swap,simple_swap,balanced,moderate,medium,,,,15,,,0.408,0.364,0.228
15000,60000,289047,good_til_cancel,844,2.39,3,True,True,False,maximize_output,51,6,13,30,True,2,1,"[""stable"", ""native""]","[""native""]",31430.7,30749.81,paraswap,0.864,1.62,73,False,0.0,telegram,1,Surplus-First,210.17,0.68,0.67,complex_defi,multi_token,output,moderate,high,0.499,0.357,0.144,6,,,,,
5000,60000,184235,fill_or_kill,552,2.34,3,False,True,True,fastest_execution,20,40,14,26,True,1,1,"[""stable""]","[""native""]",15554.3,15499.58,1inch,0.797,1.65,194,False,0.0,web,3,Gas-Optimized,,,,swap,multi_hop_swap,output,moderate,medium,,,,40,0.323,0.242,,,
15000,120000,48033,immediate,818,3.0,2,True,True,False,maximize_output,51,6,13,30,True,1,1,"[""stable""]","[""volatile""]",49200.74,49710.21,coingecko,0.894,1.83,156,True,0.693,web,5,Surplus-First,496.98,1.0,1.75,swap,multi_hop_swap,output,moderate,medium,0.451,0.325,0.224,6,,,,,
10000,60000,102598,good_til_cancel,995,2.38,2,False,False,True,minimize_gas,51,12,11,26,False,1,1,"[""volatile""]","[""volatile""]",12305.01,12175.05,paraswap,0.845,2.45,881,False,0.0,web,0,Surplus-First,760.86,6.25,1.08,swap,multi_hop_swap,speed,simple,medium,0.468,0.387,0.145,12,,,,,
60000,60000,362743,good_til_cancel,849,2.86,2,True,True,True,fastest_execution,15,14,17,54,True,1,1,"[""stable""]","[""native""]",30357.17,30275.49,1inch,0.906,1.5,456,False,0.0,mobile,1,Reputation-Trust,,,,limit_order,stop_loss,balanced,moderate,high,,,,14,,,0.402,0.373,0.225
15000,300000,444225,good_til_cancel,619,2.21,2,True,True,True,balanced,18,14,29,39,True,3,1,"[""stable"", ""stable"", ""volatile""]","[""volatile""]",35842.59,36523.2,paraswap,0.863,2.14,331,False,0.0,mobile,4,Reputation-Trust,,,,complex_defi,aggregated_swap,balanced,complex,high,,,,14,,,0.358,0.303,0.339
5000,30000,148417,fill_or_kill,560,2.25,2,False,True,True,minimize_gas,18,45,10,27,True,1,1,"[""stable""]","[""volatile""]",1122.84,1108.81,internal,0.825,0.79,266,True,0.666,mobile,0,Gas-Optimized,,,,limit_order,standard_limit,cost,simple,low,,,,45,0.275,0.227,,,
15000,60000,67771,immediate,607,2.18,3,True,False,False,minimize_gas,13,46,19,22,True,2,1,"[""native"", ""volatile""]","[""native""]",13374.67,13274.89,paraswap,0.982,0.63,444,True,0.936,telegram,0,Gas-Optimized,,,,swap,simple_swap,cost,complex,low,,,,46,0.339,0.163,,,
30000,300000,66587,fill_or_kill,834,2.5,4,True,True,True,balanced,15,15,26,44,True,1,1,"[""native""]","[""native""]",46931.98,46649.82,paraswap,0.902,1.68,192,True,0.676,mobile,0,Reputation-Trust,,,,complex_defi,multi_token,balanced,complex,medium,,,,15,,,0.426,0.339,0.235
3000,120000,135751,immediate,609,2.32,2,False,False,False,balanced,21,56,17,6,True,2,1,"[""volatile"", ""volatile""]","[""volatile""]",13969.72,14055.04,internal,0.903,1.37,257,True,0.849,api,2,Gas-Optimized,,,,complex_defi,aggregated_swap,balanced,moderate,medium,,,,56,0.278,0.292,,,
3000,60000,192511,good_til_cancel,618,2.18,2,True,False,False,minimize_gas,23,56,19,2,False,2,1,"[""stable"", ""stable""]","[""native""]",1248.59,1227.64,coingecko,0.84,0.62,554,False,0.0,mobile,3,Gas-Optimized,,,,swap,multi_hop_swap,cost,moderate,low,,,,56,0.334,0.172,,,
3000,30000,194729,fill_or_kill,516,2.32,3,True,False,True,minimize_gas,16,58,14,12,False,1,1,"[""volatile""]","[""stable""]",8727.41,8571.01,1inch,0.948,1.06,204,True,0.641,telegram,0,Gas-Optimized,,,,swap,simple_swap,cost,complex,low,,,,58,0.343,0.187,,,
5000,120000,446964,fill_or_kill,853,2.83,3,True,True,False,minimize_gas,30,14,8,48,True,2,2,"[""stable"", ""volatile""]","[""stable"", ""stable""]",74689.66,74534.29,1inch,0.936,1.42,360,False,0.0,web,3,Reputation-Trust,,,,limit_order,standard_limit,balanced,complex,medium,,,,14,,,0.427,0.306,0.267
60000,600000,578022,good_til_cancel,716,2.81,2,False,False,True,minimize_gas,24,14,17,45,True,2,2,"[""native"", ""native""]","[""volatile"", ""volatile""]",70411.77,71780.14,paraswap,0.839,1.56,261,False,0.0,web,3,Reputation-Trust,,,,limit_order,standard_limit,balanced,moderate,high,,,,14,,,0.377,0.301,0.322
